city,state,tier,cost_mult,labour_mult,cement,sand,brick,aggregate,steel,verified,last_updated,source_label,source_url,notes
agra,Uttar Pradesh,2,1.02,0.98,395,65,9,42,60,false,2026-04-10,regional-band UP Tier-2 (anchored to Lucknow live),,Inferred from Lucknow live data minus 2% cost differential. Cement 380-410 range; steel 57-63/kg; brick 8-10/nos.
ahmedabad,Gujarat,1,1.15,1.10,385,58,7,40,55,true,2026-04-10,todaypricerates.com April 2026,https://property.todaypricerates.com/construction-building-materials-rate-in-ahmedabad,Live April 2026. Cement OPC53 avg Rs 385 (range 360-410); steel Fe500 avg Rs 55/kg (52000-58000/ton); brick red clay avg Rs 7 (5-9/nos); sand Rs 58/cft (M-sand 1200-1700/ton converted); aggregate Rs 40/cft (20mm 1150-1600/ton).
amritsar,Punjab,2,1.05,1.02,390,68,11,48,64,false,2026-04-10,regional-band Punjab Tier-2 (anchored to Chandigarh/Ludhiana),,Inferred from Punjab regional band. Cement 370-410; steel 60-68/kg; brick 10-13/nos; sand 55-80/cft; aggregate 40-55/cft.
aurangabad,Maharashtra,2,1.02,1.00,375,60,9,43,61,false,2026-04-10,regional-band Maharashtra Tier-2,,Inferred from Pune live data minus Tier-2 differential. Cement 355-395; steel 57-65/kg; brick 8-11/nos.
bangalore,Karnataka,1,1.30,1.35,380,68,12,52,65,false,2026-04-10,buildmaadi.com + todaypricerates March-April 2026,https://www.buildmaadi.com/cement-price-in-bangalore/,Cement range Rs 355-405 avg Rs 380; steel Fe500 average Rs 65/kg from buildmaadi March 2026 brand list; brick wirecut avg Rs 12/nos. Sand/aggregate estimated from South India regional band (Karnataka quarry prices).
bhopal,Madhya Pradesh,1,1.02,0.99,370,60,10,43,62,false,2026-04-10,regional-band MP Tier-1,,Inferred from Indore live data +5% state capital premium. Cement 350-390; steel 58-66/kg; brick 9-12/nos.
bhubaneswar,Odisha,1,1.05,1.02,380,60,10,43,65,false,2026-04-10,regional-band Odisha Tier-1,,Inferred from East India regional band. Cement 360-400; steel 62-68/kg; brick 9-12/nos.
chandigarh,Punjab,1,1.20,1.18,390,68,11,48,64,false,2026-04-10,regional-band Punjab Tier-1,,Inferred from Punjab regional band. Cement 370-410; steel 60-68/kg; brick 10-13/nos.
chennai,Tamil Nadu,1,1.05,1.05,410,73,8,45,61,true,2026-04-10,todaypricerates.com April 2026,https://property.todaypricerates.com/construction-building-materials-rate-in-Chennai,Live April 2026. Cement OPC53 avg Rs 410 (380-440); steel Fe500 avg Rs 61/kg (58000-64000/ton); brick red clay avg Rs 8 (6-10/nos); sand M-sand Rs 73/cft (avg 1400-1900/ton); aggregate 20mm Rs 45/cft (1300-1700/ton midpoint).
coimbatore,Tamil Nadu,2,0.92,0.90,370,62,10,40,62,false,2026-04-10,regional-band TN Tier-2 (anchored to Chennai live),,Inferred from Chennai live minus 10% Tier-2 differential. Cement 350-390; steel 59-65/kg; brick 9-11/nos.
cuttack,Odisha,2,0.98,0.95,375,58,9,42,64,false,2026-04-10,regional-band Odisha Tier-2,,Inferred from Bhubaneswar band. Cement 355-395; steel 60-68/kg; brick 8-10/nos.
dehradun,Uttarakhand,2,1.10,1.08,400,68,10,48,68,false,2026-04-10,regional-band Uttarakhand Tier-2,,Hill state premium. Cement 380-420; steel 64-72/kg; brick 9-12/nos. Higher transport adds 5-8% premium.
delhi,Delhi,1,1.42,1.45,410,78,8,50,65,true,2026-04-10,todaypricerates.com April 2026,https://property.todaypricerates.com/construction-building-materials-rate-in-New-Delhi,Live April 2026. Cement OPC53 avg Rs 410 (380-440); steel Fe500 avg Rs 65/kg (62000-68000/ton); brick red clay avg Rs 8 (6-11/nos); sand river avg Rs 78/cft (1500-2000/ton); aggregate 20mm Rs 50/cft (1400-1900/ton).
durgapur,West Bengal,2,1.02,1.00,380,65,10,44,63,false,2026-04-10,regional-band WB Tier-2 (anchored to Kolkata live),,Inferred from Kolkata live data minus Tier-2 differential.
erode,Tamil Nadu,3,0.86,0.83,355,52,8,35,58,false,2026-04-10,regional-band TN Tier-3,,Inferred from TN Tier-3 band. Cement 335-375; steel 54-62/kg; brick 7-9/nos.
faridabad,Haryana,2,1.22,1.25,405,78,11,52,66,false,2026-04-10,regional-band Delhi-NCR Tier-2,,Inferred from Delhi live data with NCR Tier-2 differential. Cement 385-425; steel 62-70/kg; brick 10-14/nos.
ghaziabad,Uttar Pradesh,2,1.25,1.28,405,78,11,52,66,false,2026-04-10,regional-band Delhi-NCR Tier-2,,Inferred from Delhi live data with NCR Tier-2 differential.
gorakhpur,Uttar Pradesh,2,0.97,0.95,390,65,9,42,60,false,2026-04-10,regional-band UP Tier-2,,Inferred from UP regional band. Cement 370-410; steel 56-64/kg; brick 8-10/nos.
guntur,Andhra Pradesh,2,1.00,0.98,380,60,9,42,62,false,2026-04-10,regional-band AP Tier-2,,Inferred from Vijayawada/Hyderabad AP regional band.
gurgaon,Haryana,1,1.43,1.46,405,78,11,52,66,false,2026-04-10,regional-band Delhi-NCR Tier-1,,Inferred from Delhi live data with NCR premium. Cement 385-425; steel 62-70/kg.
guwahati,Assam,1,1.12,1.10,385,65,10,45,67,false,2026-04-10,regional-band NE India Tier-1,,NE India premium for logistics. Cement 365-405; steel 63-71/kg; brick 9-12/nos.
howrah,West Bengal,1,1.15,1.12,395,65,10,44,63,false,2026-04-10,regional-band WB Tier-1 (anchored to Kolkata live),,Inferred from Kolkata live data +2% location premium.
hubli,Karnataka,2,1.00,0.97,375,62,10,45,64,false,2026-04-10,regional-band Karnataka Tier-2,,Inferred from Bangalore band minus Tier-2 differential.
hyderabad,Telangana,1,1.22,1.24,415,60,8,42,61,true,2026-04-10,todaypricerates.com April 2026,https://property.todaypricerates.com/construction-building-materials-rate-in-Hyderabad,Live April 2026. Cement OPC53 avg Rs 415 (390-440); steel Fe500 avg Rs 61/kg (58000-64000/ton); brick red clay avg Rs 8 (6-10/nos). Sand per ton pricing converted: river sand avg Rs 60/cft; aggregate 20mm Rs 42/cft.
indore,Madhya Pradesh,1,1.05,1.02,380,60,11,43,58,false,2026-04-10,todaypricerates.com April 2026 (prior cycle),https://property.todaypricerates.com/construction-building-materials-rate-in-Indore,Sourced from todaypricerates earlier 2026 cycle. Cement avg Rs 374 updated to Rs 380; brick Rs 12; steel Rs 57-59/kg avg Rs 58.
jabalpur,Madhya Pradesh,2,0.96,0.93,365,58,10,42,60,false,2026-04-10,regional-band MP Tier-2,,Inferred from Indore/Bhopal regional band minus Tier-2 differential.
jaipur,Rajasthan,1,1.10,1.07,405,62,7,43,60,true,2026-04-10,todaypricerates.com April 2026,https://property.todaypricerates.com/construction-building-materials-rate-in-Jaipur,Live April 2026. Cement OPC53 avg Rs 405 (380-430); steel Fe500 avg Rs 60/kg (58000-63000/ton); brick red clay avg Rs 7 (6-9/nos); sand river avg Rs 62/cft (1000-1500/ton); aggregate 20mm Rs 43/cft (1100-1600/ton).
jodhpur,Rajasthan,2,0.98,0.96,390,60,8,40,58,false,2026-04-10,regional-band Rajasthan Tier-2,,Inferred from Jaipur live data minus Tier-2 differential.
kanpur,Uttar Pradesh,1,1.05,1.02,395,65,9,42,60,false,2026-04-10,regional-band UP Tier-1,,Inferred from UP regional band anchored to Lucknow live.
kochi,Kerala,1,1.22,1.28,395,72,12,52,67,false,2026-04-10,regional-band Kerala Tier-1,,Kerala higher sand/labour costs. Cement 375-415; steel 63-71/kg; brick 10-14/nos; sand 60-85/cft (river sand scarce).
kolkata,West Bengal,1,1.18,1.15,400,65,8,43,63,true,2026-04-10,todaypricerates.com April 2026,https://property.todaypricerates.com/construction-building-materials-rate-in-Kolkata,Live April 2026. Cement OPC53 avg Rs 400 (370-430); steel Fe500 avg Rs 63/kg (60000-66000/ton); brick red clay avg Rs 8 (6-10/nos); sand river avg Rs 65/cft (1400-1900/ton); aggregate 20mm Rs 43/cft (1350-1850/ton).
kozhikode,Kerala,2,1.12,1.16,390,70,12,50,66,false,2026-04-10,regional-band Kerala Tier-2,,Inferred from Kochi band minus Tier-2 differential.
