city,state,tier,area_sqft,floors,building_type,quality,total_area_sqft,cement_bags,sand_cft,bricks,aggregate_cft,steel_kg,price_cement_per_bag,price_sand_per_cft,price_brick_per_nos,price_agg_per_cft,price_steel_per_kg,cost_cement,cost_sand,cost_bricks,cost_aggregate,cost_steel,total_material_cost
chennai,Tamil Nadu,1,2528.7,7,0,2,17700.89,8856,27926,118300,27039,87872,410,73,8,45,61,3630960,2038598,946400,1216755,5360192,13192905
vijayawada,Andhra Pradesh,2,2865.03,2,1,0,5730.07,2154,7806,25855,6221,33749,380,60,9,43,62,818520,468360,232695,267503,2092438,3879516
bangalore,Karnataka,1,8420.03,4,1,1,33680.13,13577,44969,160504,41204,205690,380,68,12,52,65,5159260,3057892,1926048,2142608,13369850,25655658
rajkot,Gujarat,2,7925.87,1,1,2,7925.87,5196,12468,42177,12092,59626,378,55,9,38,56,1964088,685740,379593,459496,3339056,6827973
hyderabad,Telangana,1,4127.91,5,0,1,20639.53,9379,31564,142591,27126,92182,415,60,8,42,61,3892285,1893840,1140728,1139292,5623102,13689247
gurgaon,Haryana,1,1294.49,3,0,0,3883.48,1617,5043,23477,4042,14509,405,78,11,52,66,654885,393354,258247,210184,957594,2474264
patna,Bihar,2,6935.15,3,0,2,20805.46,10775,34730,150484,33031,100663,395,62,7,43,59,4256125,2153260,1053388,1420333,5939117,14822223
varanasi,Uttar Pradesh,2,3722.18,2,2,1,7444.36,2976,10088,28425,10268,61540,390,65,9,43,60,1160640,655720,255825,441524,3692400,6206109
tirunelveli,Tamil Nadu,3,796.71,1,0,2,796.71,458,1319,5846,1130,3824,352,50,8,35,57,161216,65950,46768,39550,217968,531452
agra,Uttar Pradesh,2,2054.71,3,0,0,6164.12,2513,7847,38610,6676,23662,395,65,9,42,60,992635,510055,347490,280392,1419720,3550292
kozhikode,Kerala,2,5921.33,2,1,1,11842.66,6232,19237,60286,16458,77113,390,70,12,50,66,2430480,1346590,723432,822900,5089458,10412860
warangal,Telangana,2,1746.11,2,2,1,3492.21,1520,5123,14595,5693,32089,395,58,8,42,62,600400,297134,116760,239106,1989518,3242918
nashik,Maharashtra,2,6875.37,1,1,1,6875.37,3707,9226,33480,9494,43997,390,62,9,44,62,1445730,572012,301320,417736,2727814,5464612
ahmedabad,Gujarat,1,1100.47,2,0,0,2200.94,733,2656,11683,2038,7433,385,58,7,40,55,282205,154048,81781,81520,408815,1008369
kolkata,West Bengal,1,10989.04,3,1,1,32967.12,14879,41252,146675,41385,194276,400,65,8,43,63,5951600,2681380,1173400,1779555,12239388,23825323
amritsar,Punjab,2,7245.8,1,0,0,7245.8,3133,8866,39675,7410,24033,390,68,11,48,64,1221870,602888,436425,355680,1538112,4154975
erode,Tamil Nadu,3,3643.12,1,0,1,3643.12,1173,4685,22680,4424,13504,355,52,8,35,58,416415,243620,181440,154840,783232,1779547
thoothukudi,Tamil Nadu,3,1751.15,1,0,1,1751.15,673,2562,12349,2076,7450,352,50,8,35,57,236896,128100,98792,72660,424650,961098
