city,state,tier,area_sqft,floors,building_type,quality,total_area_sqft,cement_bags,sand_cft,bricks,aggregate_cft,steel_kg,price_cement_per_bag,price_sand_per_cft,price_brick_per_nos,price_agg_per_cft,price_steel_per_kg,cost_cement,cost_sand,cost_bricks,cost_aggregate,cost_steel,total_material_cost
mysore,Karnataka,2,8410.38,3,1,1,25231.14,13260,38332,130741,36288,172502,375.0,62.0,10.0,44.0,64.0,4972500,2376584,1307410,1596672,11040128,21293294
thiruvananthapuram,Kerala,1,11341.66,2,0,2,22683.33,12151,36848,159160,35733,109982,395.0,72.0,12.0,52.0,67.0,4799645,2653056,1909920,1858116,7368794,18589531
kanpur,Uttar Pradesh,1,11947.03,4,0,0,47788.12,17734,56366,260028,43689,163145,395.0,65.0,9.0,42.0,60.0,7004930,3663790,2340252,1834938,9788700,24632610
erode,Tamil Nadu,3,5513.27,2,2,1,11026.53,6446,17318,49688,16889,102444,355.0,52.0,8.0,35.0,58.0,2288330,900536,397504,591115,5941752,10119237
patna,Bihar,2,3179.86,1,2,0,3179.86,1317,4021,11171,3541,23447,395.0,62.0,7.0,43.0,59.0,520215,249302,78197,152263,1383373,2383350
chandigarh,Punjab,1,5425.39,2,2,1,10850.77,5314,16825,45178,16270,94834,390.0,68.0,11.0,48.0,64.0,2072460,1144100,496958,780960,6069376,10563854
visakhapatnam,Andhra Pradesh,1,10197.78,4,2,1,40791.12,19852,56900,153594,56104,346570,385.0,62.0,10.0,44.0,63.0,7643020,3527800,1535940,2468576,21833910,37009246
guwahati,Assam,1,2630.87,2,0,1,5261.73,2221,7623,33416,6252,20445,385.0,65.0,10.0,45.0,67.0,855085,495495,334160,281340,1369815,3335895
mysore,Karnataka,2,11434.73,5,0,2,57173.64,34280,89635,397017,87474,289101,375.0,62.0,10.0,44.0,64.0,12855000,5557370,3970170,3848856,18502464,44733860
varanasi,Uttar Pradesh,2,4234.02,2,0,0,8468.03,2360,11318,51732,9117,32759,390.0,65.0,9.0,43.0,60.0,920400,735670,465588,392031,1965540,4479229
guntur,Andhra Pradesh,2,11832.48,2,2,1,23664.97,11466,32799,89226,32137,188482,380.0,60.0,9.0,42.0,62.0,4357080,1967940,803034,1349754,11685884,20163692
hubli,Karnataka,2,10095.58,10,1,1,100955.85,57067,147900,530230,165729,756569,375.0,62.0,10.0,45.0,64.0,21400125,9169800,5302300,7457805,48420416,91750446
cuttack,Odisha,2,9741.13,2,1,1,19482.26,9663,27700,95125,26953,127093,375.0,58.0,9.0,42.0,64.0,3623625,1606600,856125,1132026,8133952,15352328
cuttack,Odisha,2,3951.28,4,2,1,15805.1,7526,22912,62048,24448,141297,375.0,58.0,9.0,42.0,64.0,2822250,1328896,558432,1026816,9043008,14779402
hyderabad,Telangana,1,303.57,4,0,2,1214.28,739,2145,9133,2109,6405,415.0,60.0,8.0,42.0,61.0,306685,128700,73064,88578,390705,987732
thoothukudi,Tamil Nadu,3,4709.17,6,0,2,28255.01,14794,43466,191336,45290,134400,352.0,50.0,8.0,35.0,57.0,5207488,2173300,1530688,1585150,7660800,18157426
mangalore,Karnataka,2,3761.35,1,0,0,3761.35,1357,5134,23675,4066,14604,378.0,65.0,11.0,47.0,64.0,512946,333710,260425,191102,934656,2232839
nagpur,Maharashtra,2,641.28,2,0,1,1282.57,599,2025,8856,1670,5548,385.0,62.0,11.0,43.0,61.0,230615,125550,97416,71810,338428,863819
hyderabad,Telangana,1,6163.31,4,0,1,24653.24,10929,34257,158819,29927,102024,415.0,60.0,8.0,42.0,61.0,4535535,2055420,1270552,1256934,6223464,15341905
amritsar,Punjab,2,4955.77,3,0,2,14867.31,7846,23627,105259,22205,72091,390.0,68.0,11.0,48.0,64.0,3059940,1606636,1157849,1065840,4613824,11504089
howrah,West Bengal,1,7687.77,3,1,0,23063.3,8009,27147,97239,24215,122989,395.0,65.0,10.0,44.0,63.0,3163555,1764555,972390,1065460,7748307,14714267
thoothukudi,Tamil Nadu,3,7530.0,1,0,2,7530.0,3810,12427,54747,10767,36078,352.0,50.0,8.0,35.0,57.0,1341120,621350,437976,376845,2056446,4833737
ahmedabad,Gujarat,1,1624.81,2,1,2,3249.62,1916,5623,17918,5458,24785,385.0,58.0,7.0,40.0,55.0,737660,326134,125426,218320,1363175,2770715
hyderabad,Telangana,1,11728.19,3,0,2,35184.58,22516,65428,267275,54113,184339,415.0,60.0,8.0,42.0,61.0,9344140,3925680,2138200,2272746,11244679,28925445
pune,Maharashtra,1,2405.79,2,2,1,4811.58,2446,6598,19216,6845,40378,405.0,68.0,8.0,43.0,59.0,990630,448664,153728,294335,2382302,4269659
kochi,Kerala,1,5454.23,2,1,1,10908.47,5573,16232,55582,14429,70136,395.0,72.0,12.0,52.0,67.0,2201335,1168704,666984,750308,4699112,9486443
mumbai,Maharashtra,1,5959.79,1,2,1,5959.79,3325,8311,25372,8667,51992,450.0,88.0,15.0,60.0,67.0,1496250,731368,380580,520020,3483464,6611682
ahmedabad,Gujarat,1,9794.14,1,0,1,9794.14,4194,14793,65148,12213,39334,385.0,58.0,7.0,40.0,55.0,1614690,857994,456036,488520,2163370,5580610
vijayawada,Andhra Pradesh,2,1370.91,4,0,1,5483.64,2594,7620,33546,6288,21529,380.0,60.0,9.0,43.0,62.0,985720,457200,301914,270384,1334798,3350016
guwahati,Assam,1,5258.0,4,0,1,21032.01,7407,29024,129910,24560,81534,385.0,65.0,10.0,45.0,67.0,2851695,1886560,1299100,1105200,5462778,12605333
lucknow,Uttar Pradesh,1,7616.33,1,0,1,7616.33,3108,10399,46270,8205,27723,405.0,65.0,9.0,47.0,60.0,1258740,675935,416430,385635,1663380,4400120
dehradun,Uttarakhand,2,2738.84,2,0,1,5477.67,2478,7316,32986,6712,21595,400.0,68.0,10.0,48.0,68.0,991200,497488,329860,322176,1468460,3609184
varanasi,Uttar Pradesh,2,7604.12,3,0,0,22812.36,8386,27358,131554,20613,81063,390.0,65.0,9.0,43.0,60.0,3270540,1778270,1183986,886359,4863780,11982935
howrah,West Bengal,1,11099.25,2,0,1,22198.49,8267,32354,147560,27699,94703,395.0,65.0,10.0,44.0,63.0,3265465,2103010,1475600,1218756,5966289,14029120
visakhapatnam,Andhra Pradesh,1,11970.71,5,2,1,59853.57,30758,81437,224469,86739,498386,385.0,62.0,10.0,44.0,63.0,11841830,5049094,2244690,3816516,31398318,54350448
pune,Maharashtra,1,582.92,4,0,0,2331.69,886,2952,14349,2660,9083,405.0,68.0,8.0,43.0,59.0,358830,200736,114792,114380,535897,1324635
indore,Madhya Pradesh,1,2979.94,6,2,2,17879.65,11576,27269,76082,33321,185844,380.0,60.0,11.0,43.0,58.0,4398880,1636140,836902,1432803,10778952,19083677
shimla,Himachal Pradesh,2,3861.62,3,0,1,11584.87,4986,17950,75315,15040,49291,415.0,82.0,12.0,55.0,70.0,2069190,1471900,903780,827200,3450370,8722440
jaipur,Rajasthan,1,4909.69,2,0,2,9819.38,5497,16606,69484,14375,47226,405.0,62.0,7.0,43.0,60.0,2226285,1029572,486388,618125,2833560,7193930
vellore,Tamil Nadu,3,3058.63,3,0,0,9175.9,3040,10376,50697,8910,31906,355.0,50.0,8.0,35.0,58.0,1079200,518800,405576,311850,1850548,4165974
noida,Uttar Pradesh,1,2601.16,1,1,2,2601.16,1575,4314,13845,3839,18568,407.0,80.0,11.0,52.0,66.0,641025,345120,152295,199628,1225488,2563556
jodhpur,Rajasthan,2,11463.74,1,1,2,11463.74,6434,17991,61304,17473,82104,390.0,60.0,8.0,40.0,58.0,2509260,1079460,490432,698920,4762032,9540104
vijayawada,Andhra Pradesh,2,11038.55,1,1,1,11038.55,5033,15972,55623,14316,71018,380.0,60.0,9.0,43.0,62.0,1912540,958320,500607,615588,4403116,8390171
